pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1347	5139	3316	3118	1990	1721	1154	927	540	223	218	27	8
home---secondary	544	743	350	593	808	1176	1375	1575	1608	1579	1352	1364	7600
home---work	1617	1841	855	1200	2117	2729	3255	3535	3786	3708	3359	3162	12551
pt interaction---home	1330	5097	3386	3137	1963	1603	1154	986	563	225	235	25	10
pt interaction---pt interaction	24415	38120	4545	339	232	46	5	0	1	0	0	0	1
pt interaction---secondary	1753	2015	1015	666	474	344	147	49	21	35	18	2	0
pt interaction---work	2787	4095	2068	1591	1310	992	248	32	24	20	22	0	0
secondary---home	546	703	394	581	809	1176	1373	1585	1613	1577	1351	1361	7591
secondary---pt interaction	1808	2156	874	643	474	340	119	56	17	36	21	2	0
work---home	1672	1727	904	1211	2129	2726	3255	3550	3810	3702	3359	3161	12530
work---pt interaction	2827	4121	1951	1530	1485	931	240	27	13	20	23	0	0

average leg duration: 1759.1339780510302 seconds = 00:29:19
