pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2397	7645	4132	3344	1912	1459	982	684	399	144	184	26	9
home---secondary	4932	6414	1385	623	559	417	390	445	356	324	215	212	941
home---work	12182	13214	5474	2753	2425	1616	1394	927	660	651	497	490	1297
pt interaction---home	2323	7583	4224	3347	1898	1369	989	732	407	149	197	28	10
pt interaction---pt interaction	26581	39737	5025	2103	1386	444	240	278	197	89	2	1	0
pt interaction---secondary	2922	3331	1439	844	580	493	197	84	34	42	25	2	0
pt interaction---work	3404	4566	2076	1294	997	714	199	19	14	16	25	0	0
secondary---home	4681	6386	1813	555	518	392	378	443	364	326	221	208	935
secondary---pt interaction	2982	3463	1266	837	582	497	165	92	29	41	30	2	0
work---home	10576	15144	6667	2081	1553	1209	1107	1076	1189	754	500	486	1292
work---pt interaction	3503	4484	1977	1255	1106	692	189	14	13	12	25	0	0

average leg duration: 733.8417538745032 seconds = 00:12:13
