pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	684	2524	1742	1517	1016	898	578	496	251	109	107	25	6
home---secondary	243	389	323	629	908	1320	1599	1835	1916	1952	1658	1642	9249
home---work	814	1039	766	1281	2341	3118	3755	4232	4611	4607	4105	3909	15916
pt interaction---home	675	2470	1765	1533	1000	848	550	554	273	105	118	20	9
pt interaction---pt interaction	14152	20202	1737	41	0	0	0	0	0	0	0	0	1
pt interaction---secondary	951	1148	507	369	247	163	75	33	17	19	12	2	0
pt interaction---work	1300	1993	1026	762	657	486	131	24	10	8	13	0	0
secondary---home	279	351	325	627	904	1321	1596	1840	1915	1953	1659	1643	9247
secondary---pt interaction	1006	1186	441	367	244	162	55	35	14	21	13	2	0
work---home	841	967	810	1284	2347	3120	3762	4244	4628	4607	4109	3910	15900
work---pt interaction	1311	1995	972	719	759	448	128	12	10	7	14	0	0

average leg duration: 2323.667759314263 seconds = 00:38:43
