pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1956	6589	4154	3681	2306	1871	1206	945	571	239	225	36	8
home---secondary	4085	5112	1016	482	498	593	643	672	680	638	524	527	2448
home---work	12012	12098	2859	1229	1267	1316	1401	1369	1456	1369	1186	1082	3761
pt interaction---home	1912	6530	4239	3692	2280	1775	1233	987	589	234	248	34	10
pt interaction---pt interaction	27682	43684	5293	1489	1022	560	332	105	3	2	0	0	0
pt interaction---secondary	2474	2979	1392	934	613	493	199	85	36	44	37	2	0
pt interaction---work	3158	4593	2355	1666	1347	1019	247	32	24	29	29	0	0
secondary---home	3964	4995	1300	461	502	579	640	676	679	635	528	521	2440
secondary---pt interaction	2562	3107	1199	921	619	509	159	93	29	45	41	2	0
work---home	10424	12830	3235	1036	1683	1564	1419	1389	1477	1374	1180	1077	3739
work---pt interaction	3219	4611	2198	1611	1512	999	227	23	21	24	32	0	0

average leg duration: 935.1697596150597 seconds = 00:15:35
