pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2585	8088	3984	3005	1713	1237	816	560	341	112	159	22	6
home---secondary	5086	6644	1484	758	590	391	325	333	277	207	163	139	649
home---work	11333	11609	6014	4620	3208	2132	1448	1053	773	616	356	353	921
pt interaction---home	2522	8023	4089	2988	1700	1161	819	594	345	115	171	21	9
pt interaction---pt interaction	25482	36450	4691	2292	1680	671	328	212	160	58	20	1	0
pt interaction---secondary	3108	3410	1438	832	570	446	183	76	33	37	24	3	0
pt interaction---work	3456	4472	1863	1084	814	572	145	12	12	18	20	0	0
secondary---home	4818	6723	1960	624	537	344	300	324	277	205	164	141	641
secondary---pt interaction	3159	3555	1270	807	568	465	146	81	27	42	25	3	0
work---home	10218	14974	6853	3792	2420	1174	856	873	838	685	518	380	914
work---pt interaction	3574	4370	1760	1075	896	544	133	9	14	13	21	0	0

average leg duration: 707.591823436679 seconds = 00:11:47
