pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	419	1527	995	967	664	563	384	327	170	58	76	11	3
home---secondary	266	358	316	637	945	1357	1654	1902	2014	2051	1763	1714	9785
home---work	750	1006	770	1321	2404	3268	3953	4503	4837	4881	4364	4118	17009
pt interaction---home	404	1517	1001	978	652	537	379	350	181	62	78	13	4
pt interaction---pt interaction	9304	13448	1251	25	0	1	0	0	0	0	0	0	1
pt interaction---secondary	646	766	372	268	156	137	49	12	10	14	11	3	0
pt interaction---work	745	1146	616	448	388	269	66	11	11	10	10	0	0
secondary---home	242	346	349	640	947	1355	1658	1904	2015	2050	1762	1713	9779
secondary---pt interaction	683	790	325	261	170	126	42	12	7	15	12	3	0
work---home	785	941	800	1322	2406	3268	3955	4508	4844	4880	4367	4115	17002
work---pt interaction	752	1142	592	413	448	264	65	8	10	7	10	0	0

average leg duration: 2591.3490932199247 seconds = 00:43:11
