pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1385	5179	3344	3197	2035	1784	1172	905	548	220	225	36	8
home---secondary	567	721	375	584	817	1153	1374	1558	1623	1579	1377	1358	7547
home---work	1741	1934	840	1204	2106	2698	3217	3485	3733	3676	3259	3097	12449
pt interaction---home	1359	5139	3420	3206	2012	1656	1174	973	573	218	240	35	10
pt interaction---pt interaction	24363	38917	4485	324	228	131	4	0	1	0	0	0	0
pt interaction---secondary	1784	1990	1014	689	470	345	145	61	22	36	15	2	0
pt interaction---work	2844	4191	2076	1597	1377	1010	273	39	18	19	21	0	0
secondary---home	570	695	405	577	814	1151	1370	1566	1624	1574	1380	1354	7534
secondary---pt interaction	1851	2125	875	661	482	334	121	67	18	36	20	2	0
work---home	1780	1786	941	1207	2113	2693	3226	3494	3766	3676	3262	3097	12440
work---pt interaction	2879	4215	1961	1550	1525	952	262	30	10	17	22	0	0

average leg duration: 1743.7513641652754 seconds = 00:29:03
