pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2389	7745	4100	3249	1857	1387	935	646	383	144	165	23	8
home---secondary	5021	6433	1422	664	568	432	385	419	357	274	218	179	818
home---work	12031	12472	5711	3328	2702	1809	1424	1047	685	620	444	425	1191
pt interaction---home	2319	7692	4193	3250	1836	1311	934	683	394	146	179	22	9
pt interaction---pt interaction	26219	38412	4989	2361	1461	411	213	250	262	129	11	1	0
pt interaction---secondary	2987	3310	1421	868	564	490	194	81	35	35	29	2	0
pt interaction---work	3331	4538	2011	1253	939	695	177	19	10	15	27	0	0
secondary---home	4672	6500	1871	593	506	414	369	413	375	275	227	177	816
secondary---pt interaction	3068	3420	1253	849	573	498	155	83	30	34	33	2	0
work---home	10277	15057	6780	2899	1663	1185	990	933	1044	965	524	429	1188
work---pt interaction	3439	4485	1873	1234	1048	660	170	12	10	12	27	0	0

average leg duration: 729.4694294277665 seconds = 00:12:09
