pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2809	8398	3855	2835	1564	1100	805	536	304	126	144	22	7
home---secondary	4899	6666	1515	798	643	384	289	317	277	190	152	127	600
home---work	10297	11023	6635	4775	3864	2467	1608	1114	768	655	329	318	895
pt interaction---home	2720	8367	3959	2839	1550	1039	806	562	313	128	155	21	10
pt interaction---pt interaction	25353	34879	5296	2522	1386	565	335	206	81	64	25	3	1
pt interaction---secondary	3223	3547	1433	806	561	437	172	79	30	32	27	2	0
pt interaction---work	3554	4408	1737	989	751	522	139	14	9	12	21	0	0
secondary---home	4730	6709	1973	670	535	348	267	294	268	198	151	125	595
secondary---pt interaction	3281	3679	1272	783	563	453	137	89	25	29	30	2	0
work---home	9652	14229	7933	4207	2673	1380	945	828	708	563	423	335	901
work---pt interaction	3673	4350	1618	989	826	489	133	8	11	9	21	0	0

average leg duration: 705.6145257299848 seconds = 00:11:45
