pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2604	8013	4048	2988	1690	1199	822	566	321	113	159	22	7
home---secondary	5063	6680	1489	771	610	377	313	339	275	201	174	144	655
home---work	11752	11388	6062	4546	3096	2242	1330	1044	749	563	390	326	979
pt interaction---home	2528	7984	4121	2989	1676	1130	822	600	325	121	169	18	10
pt interaction---pt interaction	25533	35962	4757	2273	1629	612	340	257	150	59	20	1	0
pt interaction---secondary	3142	3396	1411	802	549	468	172	82	32	33	26	2	0
pt interaction---work	3500	4429	1816	1113	808	558	154	13	10	15	21	0	0
secondary---home	4843	6726	1946	628	542	340	297	329	275	208	179	143	648
secondary---pt interaction	3179	3542	1250	781	551	483	139	86	27	33	29	2	0
work---home	10144	14948	7012	3710	2511	1147	853	838	778	690	557	347	978
work---pt interaction	3613	4334	1721	1107	879	539	142	11	15	9	21	0	0

average leg duration: 706.9398015853513 seconds = 00:11:46
