pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1436	5374	3543	3229	2141	1843	1191	928	577	215	241	35	7
home---secondary	604	772	385	560	810	1142	1342	1522	1603	1555	1319	1331	7448
home---work	1891	2068	861	1173	2054	2635	3166	3479	3664	3571	3218	3032	12145
pt interaction---home	1423	5336	3585	3267	2110	1729	1191	1009	594	209	262	34	9
pt interaction---pt interaction	25283	39794	4870	387	146	200	71	9	0	1	0	0	1
pt interaction---secondary	1815	2081	1064	704	453	389	158	67	25	37	18	2	0
pt interaction---work	2914	4279	2213	1701	1385	1062	284	37	23	21	28	0	0
secondary---home	603	732	424	562	809	1143	1339	1529	1600	1553	1321	1326	7439
secondary---pt interaction	1882	2223	904	692	464	384	125	70	20	38	22	2	0
work---home	1932	1918	956	1180	2064	2630	3175	3496	3678	3567	3214	3033	12129
work---pt interaction	2923	4337	2069	1669	1564	1010	268	29	16	20	27	0	0

average leg duration: 1708.977568627451 seconds = 00:28:28
