pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2805	8365	3871	2799	1588	1128	783	524	300	120	148	18	7
home---secondary	4965	6623	1484	802	639	389	294	332	270	190	158	132	609
home---work	10471	11032	6355	4879	3809	2507	1605	1148	767	654	348	296	896
pt interaction---home	2719	8323	3992	2789	1585	1064	776	559	307	125	156	18	9
pt interaction---pt interaction	25475	34719	4841	2468	1554	525	384	201	111	52	21	7	2
pt interaction---secondary	3216	3541	1438	784	551	444	176	78	29	33	27	2	0
pt interaction---work	3523	4414	1724	997	749	529	137	14	15	13	22	0	0
secondary---home	4730	6708	1972	648	563	341	272	305	267	191	161	131	604
secondary---pt interaction	3279	3652	1284	772	555	461	137	87	24	31	29	2	0
work---home	9537	14371	7716	4199	2773	1469	954	835	716	607	419	302	896
work---pt interaction	3646	4337	1613	998	828	502	130	10	13	11	22	0	0

average leg duration: 708.0412653726478 seconds = 00:11:48
