pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1413	5279	3463	3185	2120	1807	1189	920	548	227	226	37	9
home---secondary	571	741	382	594	810	1143	1335	1548	1606	1574	1333	1322	7472
home---work	1822	1945	838	1193	2093	2666	3228	3452	3723	3614	3255	3104	12323
pt interaction---home	1389	5241	3516	3228	2072	1678	1209	983	572	225	243	35	11
pt interaction---pt interaction	24871	39393	4614	348	166	174	32	0	1	0	0	0	0
pt interaction---secondary	1811	2055	1078	689	477	358	159	66	28	36	17	1	0
pt interaction---work	2841	4224	2132	1643	1408	1026	268	39	23	23	21	0	0
secondary---home	575	702	418	588	808	1142	1333	1555	1607	1571	1335	1320	7462
secondary---pt interaction	1880	2208	903	674	490	348	133	73	23	38	19	1	0
work---home	1846	1816	934	1197	2095	2666	3241	3468	3746	3620	3253	3100	12310
work---pt interaction	2904	4213	2023	1588	1572	969	257	29	16	19	22	0	0

average leg duration: 1726.8284908341827 seconds = 00:28:46
