pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2598	7945	4007	3086	1705	1250	843	594	359	129	150	25	8
home---secondary	5061	6631	1502	751	583	404	320	342	325	240	178	161	623
home---work	11623	11989	6080	3964	3092	1947	1392	1168	739	586	382	368	960
pt interaction---home	2542	7878	4092	3066	1707	1161	845	635	360	132	167	24	10
pt interaction---pt interaction	25527	36484	4924	2436	1642	653	270	187	226	149	55	17	0
pt interaction---secondary	3084	3365	1438	805	564	458	186	82	34	39	28	2	0
pt interaction---work	3442	4475	1873	1137	853	615	153	14	15	16	21	0	0
secondary---home	4782	6716	1922	641	534	369	313	330	321	240	183	162	618
secondary---pt interaction	3156	3473	1284	788	559	475	151	89	28	39	31	2	0
work---home	10164	15083	6864	3346	2416	1076	862	758	864	881	556	520	968
work---pt interaction	3571	4356	1774	1121	949	573	144	8	17	12	21	0	0

average leg duration: 713.7721070365037 seconds = 00:11:53
