pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	458	1844	1207	1139	728	672	453	378	197	74	77	12	5
home---secondary	239	351	316	629	938	1335	1643	1922	1976	2018	1718	1692	9584
home---work	780	1010	781	1308	2400	3221	3885	4383	4785	4839	4329	4068	16716
pt interaction---home	454	1825	1199	1167	714	617	455	410	207	75	80	10	7
pt interaction---pt interaction	10793	15111	1437	36	0	0	1	0	0	0	0	0	0
pt interaction---secondary	773	880	426	300	195	140	60	25	17	12	14	3	0
pt interaction---work	937	1331	713	498	464	330	91	15	6	5	9	0	0
secondary---home	225	354	328	625	940	1340	1644	1919	1980	2018	1720	1692	9581
secondary---pt interaction	819	908	361	295	201	138	44	29	13	14	15	3	0
work---home	811	956	804	1313	2403	3223	3885	4380	4797	4842	4329	4069	16712
work---pt interaction	936	1339	666	471	545	305	90	9	5	5	9	0	0

average leg duration: 2511.7645361845553 seconds = 00:41:51
