pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1277	4437	2797	2635	1628	1201	776	529	336	112	144	24	7
home---secondary	180	59	101	155	154	150	123	127	108	52	41	28	117
home---work	5400	5728	2149	860	641	679	806	216	124	103	53	85	716
pt interaction---home	2	2	3	3	4	0	0	0	0	0	0	0	0
pt interaction---pt interaction	955	1169	95	131	50	11	3	0	0	44	5	3	534
pt interaction---secondary	33	50	16	23	19	24	5	0	1	0	0	0	0
pt interaction---work	412	608	384	269	284	216	60	3	1	2	1	0	0
secondary---home	14	35	85	138	136	137	109	115	93	50	37	18	38
secondary---pt interaction	63	71	26	27	25	30	8	1	1	1	1	0	0
work---home	65	49	126	141	214	174	174	129	103	92	37	56	221
work---pt interaction	445	615	400	266	299	232	65	2	1	3	1	0	0

average leg duration: 1921.3036830062483 seconds = 00:32:01
