pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1283	4544	2889	2701	1718	1326	843	639	381	150	156	24	7
home---secondary	5126	5884	1326	602	677	625	646	570	570	491	437	428	2240
home---work	8578	9119	5103	3366	2129	1939	1789	1918	1850	1727	1817	1693	6799
pt interaction---home	1259	4495	2907	2721	1714	1245	855	672	387	152	172	24	10
pt interaction---pt interaction	15879	25176	3516	1618	960	833	596	788	719	628	613	731	4391
pt interaction---secondary	2011	2385	1166	748	540	418	155	69	30	39	22	1	0
pt interaction---work	1841	2790	1485	1114	938	698	150	14	10	16	21	0	0
secondary---home	5129	6181	1730	556	529	540	542	528	524	454	376	375	2150
secondary---pt interaction	2079	2479	1035	730	547	435	120	77	24	39	26	1	0
work---home	8088	8292	4351	2416	2514	2306	2110	1870	2059	1552	1334	1594	9397
work---pt interaction	1882	2763	1411	1072	1044	651	140	14	9	14	21	0	0

average leg duration: 1315.4340200510192 seconds = 00:21:55
