pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1908	6651	4376	3930	2604	2171	1441	1063	708	278	267	49	10
home---secondary	2458	3050	667	458	600	784	892	987	1013	968	829	826	4524
home---work	7502	7870	1437	921	1451	1775	2071	2149	2279	2228	1970	1796	7149
pt interaction---home	1864	6583	4459	3931	2565	2066	1415	1129	740	279	287	47	12
pt interaction---pt interaction	27952	47195	6162	1310	792	691	698	289	138	137	228	232	3
pt interaction---secondary	2474	2830	1380	944	624	500	217	79	34	36	31	1	0
pt interaction---work	3381	4976	2654	1965	1611	1257	320	53	28	25	36	0	0
secondary---home	2437	2902	858	459	592	769	876	997	1016	970	833	819	4505
secondary---pt interaction	2561	2983	1202	924	639	500	176	87	29	33	38	1	0
work---home	7453	7522	1817	915	1470	1796	2091	2177	2318	2232	1978	1799	7132
work---pt interaction	3378	5032	2478	1903	1825	1157	320	30	19	25	37	0	0

average leg duration: 1227.815301102073 seconds = 00:20:27
