pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	545	2213	1459	1322	921	794	502	419	226	102	95	14	6
home---secondary	258	358	318	632	913	1339	1600	1879	1945	1992	1686	1671	9397
home---work	780	1044	765	1312	2353	3188	3868	4328	4694	4707	4201	3966	16298
pt interaction---home	546	2165	1460	1345	904	747	494	455	246	95	107	15	7
pt interaction---pt interaction	12503	17884	1570	35	1	0	0	1	0	0	0	0	0
pt interaction---secondary	829	1016	497	348	208	180	73	26	8	19	11	3	0
pt interaction---work	1180	1575	854	671	564	394	112	15	11	8	16	0	0
secondary---home	266	332	337	632	916	1337	1598	1882	1948	1992	1687	1672	9393
secondary---pt interaction	886	1060	412	336	225	169	58	25	5	21	14	3	0
work---home	819	984	788	1310	2358	3191	3875	4338	4715	4701	4197	3965	16290
work---pt interaction	1162	1623	795	624	641	394	95	8	8	7	16	0	0

average leg duration: 2409.140926694202 seconds = 00:40:09
