pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2255	7377	4173	3518	2031	1567	1038	717	429	167	194	30	8
home---secondary	4769	6212	1300	599	540	499	467	502	446	359	265	256	1146
home---work	12684	12956	4763	2412	2032	1699	1307	920	821	795	591	568	1698
pt interaction---home	2212	7304	4247	3512	2022	1455	1049	767	443	172	213	27	12
pt interaction---pt interaction	27231	41304	4761	2176	1059	412	268	300	150	4	0	0	0
pt interaction---secondary	2806	3201	1478	900	588	488	194	80	36	42	32	1	0
pt interaction---work	3365	4557	2180	1415	1068	800	187	26	16	19	25	0	0
secondary---home	4623	6068	1690	555	514	479	456	509	449	361	269	250	1140
secondary---pt interaction	2879	3352	1294	870	602	486	166	87	30	41	35	1	0
work---home	10758	15106	5555	1645	1485	1284	1336	1514	967	805	592	573	1692
work---pt interaction	3450	4474	2079	1387	1177	766	186	17	17	14	25	0	0

average leg duration: 763.40224503456 seconds = 00:12:43
