pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2799	8417	3914	2833	1556	1134	800	527	311	106	142	22	7
home---secondary	4936	6616	1485	827	621	418	296	312	260	199	164	138	593
home---work	10742	10852	6008	4966	3759	2774	1453	1118	941	503	324	327	910
pt interaction---home	2722	8374	4030	2828	1546	1071	790	559	315	109	155	20	10
pt interaction---pt interaction	25511	35074	4858	2395	1728	562	360	208	104	56	19	5	1
pt interaction---secondary	3244	3508	1446	802	559	437	178	75	29	35	26	2	0
pt interaction---work	3522	4462	1761	1004	749	535	138	14	9	13	20	0	0
secondary---home	4762	6707	1950	669	541	342	268	290	260	196	164	138	590
secondary---pt interaction	3291	3645	1276	784	566	453	143	83	25	32	29	2	0
work---home	9747	14319	7465	4388	2647	1385	949	851	724	616	375	330	907
work---pt interaction	3650	4375	1651	1001	829	510	136	7	10	12	20	0	0

average leg duration: 708.1222000154821 seconds = 00:11:48
