pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1409	4867	3115	2898	1841	1415	895	658	422	168	170	32	8
home---secondary	4986	5670	1262	593	647	680	604	476	493	435	417	370	2212
home---work	7504	7717	4091	2916	2624	2107	1767	1765	2111	1957	1940	1700	9168
pt interaction---home	1350	4843	3147	2903	1837	1318	901	699	432	169	191	31	12
pt interaction---pt interaction	16239	26471	3896	1837	1079	801	908	937	730	689	870	694	6536
pt interaction---secondary	2217	2630	1267	828	574	473	192	86	32	41	18	3	0
pt interaction---work	1943	2938	1552	1168	938	758	169	24	15	12	20	0	0
secondary---home	4968	6008	1743	558	517	566	528	447	446	411	354	284	2007
secondary---pt interaction	2311	2719	1116	811	585	490	152	92	27	42	21	3	0
work---home	7455	7006	3985	2051	1914	2234	2196	1832	1847	1674	1541	1443	12262
work---pt interaction	1983	2907	1467	1122	1058	703	162	19	14	9	20	0	0

average leg duration: 1475.4874641429315 seconds = 00:24:35
