pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1666	6035	3912	3597	2370	1846	1184	875	544	242	231	35	7
home---secondary	3969	4948	1025	451	485	630	684	740	764	730	601	575	2923
home---work	11621	11548	2816	1306	1238	1358	1452	1502	1533	1523	1338	1237	4569
pt interaction---home	1632	5979	4000	3591	2339	1737	1199	928	558	241	253	36	8
pt interaction---pt interaction	26078	41718	4779	1714	944	580	326	110	6	0	0	0	0
pt interaction---secondary	2312	2766	1294	850	629	449	192	80	34	49	25	1	0
pt interaction---work	2799	4330	2221	1684	1414	1080	231	43	23	19	19	0	0
secondary---home	3867	4844	1293	410	474	625	680	740	773	728	601	564	2910
secondary---pt interaction	2390	2891	1128	839	630	464	165	82	28	47	32	1	0
work---home	10110	12227	3263	977	1579	1702	1501	1528	1559	1527	1335	1242	4550
work---pt interaction	2822	4343	2089	1645	1565	1026	234	22	19	19	20	0	0

average leg duration: 1007.5714423873999 seconds = 00:16:47
