pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2648	8145	4017	2933	1667	1203	839	570	326	114	159	20	6
home---secondary	5025	6642	1497	791	595	401	328	348	284	223	163	144	616
home---work	11466	11551	6097	4568	3259	2002	1463	1086	752	588	363	323	888
pt interaction---home	2558	8113	4097	2925	1665	1135	844	597	332	120	169	21	8
pt interaction---pt interaction	25404	36034	5001	2468	1519	501	363	300	191	69	28	0	1
pt interaction---secondary	3153	3417	1420	814	543	466	174	74	30	30	26	2	0
pt interaction---work	3495	4471	1824	1097	834	560	158	13	11	14	21	0	0
secondary---home	4813	6683	1958	648	528	354	316	337	284	225	168	143	611
secondary---pt interaction	3204	3543	1267	793	544	482	138	81	24	33	27	2	0
work---home	10204	14644	7131	3683	2619	1159	906	848	793	706	537	342	884
work---pt interaction	3605	4378	1724	1094	913	535	145	9	12	12	21	0	0

average leg duration: 705.9662846528581 seconds = 00:11:45
