pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1937	6830	4224	3662	2318	1762	1163	876	558	232	233	34	7
home---secondary	4296	5366	1063	483	524	563	597	649	592	562	435	445	2224
home---work	12492	12513	2991	1443	1281	1289	1376	1322	1285	1221	1038	971	3253
pt interaction---home	1884	6759	4331	3657	2288	1662	1176	934	567	233	256	32	11
pt interaction---pt interaction	27670	43682	4982	1542	917	582	487	215	13	2	0	0	0
pt interaction---secondary	2582	3034	1378	905	631	485	193	88	38	40	31	2	0
pt interaction---work	3205	4649	2324	1624	1297	990	237	37	20	21	25	0	0
secondary---home	4030	5337	1385	449	508	579	599	651	597	563	436	441	2219
secondary---pt interaction	2646	3184	1201	892	628	500	157	95	33	38	36	2	0
work---home	10380	13563	3584	1079	1483	1801	1523	1332	1300	1231	1038	975	3237
work---pt interaction	3337	4558	2200	1571	1470	938	223	21	18	15	27	0	0

average leg duration: 895.2247937067899 seconds = 00:14:55
