pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	502	1902	1263	1185	798	712	459	389	211	71	85	14	3
home---secondary	267	371	331	628	929	1362	1627	1915	1967	1997	1702	1670	9599
home---work	756	1010	780	1301	2378	3210	3902	4397	4735	4799	4236	4029	16618
pt interaction---home	492	1886	1288	1194	783	670	456	427	221	68	90	15	5
pt interaction---pt interaction	11208	15745	1369	34	0	1	0	0	0	0	0	0	0
pt interaction---secondary	725	923	431	288	201	150	64	20	9	13	14	3	0
pt interaction---work	1002	1422	764	578	472	388	77	19	10	9	12	0	0
secondary---home	275	351	344	630	929	1363	1625	1916	1968	1996	1699	1667	9597
secondary---pt interaction	778	958	365	285	207	146	49	19	7	14	15	3	0
work---home	790	954	799	1303	2380	3212	3907	4399	4745	4795	4236	4026	16608
work---pt interaction	994	1448	716	554	563	359	75	13	6	10	12	0	0

average leg duration: 2487.496850297026 seconds = 00:41:27
