pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2123	7278	4138	3564	2186	1645	1115	763	474	195	190	29	9
home---secondary	4663	6020	1243	557	516	497	544	522	480	394	314	300	1334
home---work	12881	13260	3986	2173	1976	1454	1158	1001	929	868	696	672	1963
pt interaction---home	2084	7190	4251	3580	2155	1525	1130	826	480	193	213	30	10
pt interaction---pt interaction	27323	42267	4877	2212	938	362	363	312	149	6	1	0	0
pt interaction---secondary	2737	3197	1469	894	626	502	198	79	41	44	34	1	0
pt interaction---work	3320	4603	2269	1445	1125	838	193	32	15	19	28	0	0
secondary---home	4511	5872	1607	527	499	488	523	531	490	396	314	294	1327
secondary---pt interaction	2831	3300	1323	855	633	510	166	92	35	43	38	1	0
work---home	10557	14944	5106	1443	1463	1347	1371	1567	1066	877	696	671	1956
work---pt interaction	3384	4551	2144	1421	1251	818	200	13	13	17	28	0	0

average leg duration: 789.4185682357017 seconds = 00:13:09
