pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	619	2347	1591	1439	940	845	589	471	258	100	102	18	6
home---secondary	271	383	311	622	924	1333	1614	1841	1956	1960	1668	1660	9356
home---work	792	1017	788	1294	2321	3127	3819	4284	4642	4702	4165	3929	16006
pt interaction---home	607	2312	1596	1453	933	793	570	509	270	96	119	15	8
pt interaction---pt interaction	13500	18843	1689	42	0	0	0	0	0	0	0	0	0
pt interaction---secondary	872	1030	502	345	223	178	79	27	15	19	14	3	0
pt interaction---work	1273	1824	964	715	615	452	125	16	13	7	14	0	0
secondary---home	285	345	335	620	922	1337	1610	1852	1954	1960	1667	1660	9351
secondary---pt interaction	926	1064	437	336	230	170	65	29	12	19	17	3	0
work---home	809	977	809	1299	2332	3130	3827	4292	4662	4700	4164	3932	15998
work---pt interaction	1279	1819	908	674	716	420	116	12	10	5	14	0	0

average leg duration: 2364.397301946582 seconds = 00:39:24
