pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1262	4564	3076	2811	1774	1605	1046	795	502	206	199	32	6
home---secondary	436	586	350	589	858	1221	1440	1642	1686	1669	1430	1417	7889
home---work	1313	1609	846	1215	2143	2840	3385	3680	3947	3906	3477	3321	13337
pt interaction---home	1255	4549	3082	2860	1740	1495	1034	858	521	204	218	30	7
pt interaction---pt interaction	22884	35443	3370	80	6	1	1	0	2	0	0	1	1
pt interaction---secondary	1592	1879	880	630	435	309	146	48	20	32	20	2	0
pt interaction---work	2496	3712	1825	1473	1179	876	231	37	21	15	20	0	0
secondary---home	425	567	377	586	855	1222	1437	1653	1688	1671	1430	1414	7882
secondary---pt interaction	1651	1978	773	604	431	307	126	54	14	38	21	2	0
work---home	1472	1411	880	1215	2149	2837	3390	3693	3977	3906	3474	3319	13326
work---pt interaction	2521	3731	1736	1411	1340	820	221	27	11	16	21	0	0

average leg duration: 1853.4715022202151 seconds = 00:30:53
