pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1543	5728	3790	3392	2309	1946	1283	979	618	258	262	30	10
home---secondary	792	932	397	560	779	1130	1304	1459	1532	1516	1248	1270	7014
home---work	2250	2544	874	1140	2013	2546	3050	3287	3473	3444	3045	2898	11465
pt interaction---home	1514	5715	3813	3385	2271	1823	1279	1055	631	253	289	31	11
pt interaction---pt interaction	26064	42441	5231	958	260	189	232	59	60	56	10	1	1
pt interaction---secondary	1914	2243	1133	742	520	399	173	60	29	34	23	3	0
pt interaction---work	3139	4537	2392	1785	1500	1118	292	42	21	21	28	0	0
secondary---home	710	954	455	560	783	1133	1294	1464	1533	1519	1250	1268	7000
secondary---pt interaction	2008	2403	939	724	530	383	143	68	22	34	26	3	0
work---home	2364	2294	1011	1145	2031	2546	3059	3307	3507	3453	3051	2899	11450
work---pt interaction	3127	4615	2227	1737	1695	1017	280	27	17	16	29	0	0

average leg duration: 1631.131923611111 seconds = 00:27:11
