pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2446	7826	4029	3196	1841	1335	888	624	376	141	156	31	6
home---secondary	5022	6443	1457	683	582	435	369	406	329	260	219	186	796
home---work	11963	12222	5800	3537	2760	1787	1508	1277	642	563	440	403	1126
pt interaction---home	2390	7780	4125	3176	1821	1248	897	662	378	145	172	29	7
pt interaction---pt interaction	25974	37866	5128	2324	1376	506	281	181	275	147	26	1	2
pt interaction---secondary	2994	3310	1432	845	578	471	202	84	32	40	30	1	0
pt interaction---work	3348	4538	1975	1189	915	664	169	20	16	16	26	0	0
secondary---home	4780	6474	1880	617	506	411	333	391	339	265	221	186	792
secondary---pt interaction	3059	3457	1249	832	586	482	157	90	27	36	35	1	0
work---home	10334	14830	6629	3352	1843	1158	975	885	998	940	614	404	1123
work---pt interaction	3458	4454	1843	1185	1007	635	170	15	15	11	26	0	0

average leg duration: 727.3937618042439 seconds = 00:12:07
