pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2326	7541	4173	3375	1962	1464	997	679	405	151	178	31	10
home---secondary	4896	6294	1369	625	564	450	395	456	390	344	226	193	1003
home---work	12366	13010	5270	2733	2493	1672	1323	989	714	671	505	478	1389
pt interaction---home	2265	7504	4232	3363	1956	1374	1007	715	413	159	190	31	12
pt interaction---pt interaction	26496	39685	5045	2118	1425	378	288	286	180	12	1	1	0
pt interaction---secondary	2945	3306	1433	865	579	493	196	83	33	41	25	2	0
pt interaction---work	3326	4590	2064	1313	1016	713	192	20	15	19	23	0	0
secondary---home	4665	6272	1761	562	528	430	388	450	397	348	230	191	997
secondary---pt interaction	2996	3439	1274	848	586	499	157	88	28	40	30	2	0
work---home	10325	15169	6352	2326	1602	1221	1185	1225	1125	770	506	476	1387
work---pt interaction	3406	4522	1956	1278	1131	691	186	15	13	13	24	0	0

average leg duration: 743.6117984641215 seconds = 00:12:23
