pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1956	6743	4193	3670	2348	1767	1195	887	560	229	234	34	7
home---secondary	4220	5303	1041	491	525	564	614	654	634	589	465	445	2283
home---work	12387	12403	2931	1406	1313	1304	1391	1339	1320	1254	1079	991	3341
pt interaction---home	1906	6685	4303	3667	2313	1671	1195	953	574	232	257	30	12
pt interaction---pt interaction	27684	44095	5266	1444	952	560	473	169	3	2	0	0	1
pt interaction---secondary	2552	3021	1383	903	642	485	196	88	37	39	31	1	0
pt interaction---work	3190	4612	2342	1637	1314	1008	229	37	22	26	28	0	0
secondary---home	3985	5239	1372	460	508	576	610	657	635	591	467	440	2273
secondary---pt interaction	2630	3169	1205	887	636	505	159	99	31	36	35	1	0
work---home	10599	13422	3302	1040	1477	1819	1500	1354	1339	1256	1076	991	3324
work---pt interaction	3313	4533	2230	1574	1468	981	217	20	19	20	30	0	0

average leg duration: 903.0848257951365 seconds = 00:15:03
