pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	718	2687	1775	1640	1070	972	609	521	279	117	110	21	8
home---secondary	260	418	312	624	908	1320	1586	1828	1884	1956	1655	1607	9188
home---work	883	1085	779	1287	2332	3118	3739	4188	4511	4538	4018	3847	15712
pt interaction---home	725	2645	1794	1648	1037	913	587	570	307	109	121	19	10
pt interaction---pt interaction	14737	21245	1917	44	1	0	1	0	0	1	0	0	0
pt interaction---secondary	986	1140	547	380	256	183	86	33	16	17	13	3	0
pt interaction---work	1383	2134	1093	809	705	531	155	24	10	10	13	0	0
secondary---home	284	373	333	622	908	1319	1584	1832	1882	1955	1656	1606	9182
secondary---pt interaction	1037	1196	473	372	261	190	58	34	13	20	13	3	0
work---home	906	1031	808	1294	2333	3116	3752	4201	4533	4549	4022	3846	15698
work---pt interaction	1413	2144	1025	743	827	476	144	11	10	9	13	0	0

average leg duration: 2282.861927651445 seconds = 00:38:02
