pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2473	7771	4075	3207	1820	1331	900	612	371	127	154	28	7
home---secondary	5051	6533	1468	716	580	402	343	369	342	255	175	160	761
home---work	12016	12504	5776	3563	2752	1847	1378	1008	761	538	442	389	1105
pt interaction---home	2408	7733	4155	3222	1792	1250	907	652	378	127	169	27	8
pt interaction---pt interaction	26118	37511	5121	2268	1436	498	273	180	237	158	40	1	1
pt interaction---secondary	3022	3334	1435	855	561	466	193	85	29	41	29	1	0
pt interaction---work	3407	4499	1937	1195	901	664	153	15	13	15	26	0	0
secondary---home	4857	6547	1857	627	510	383	324	360	343	254	182	162	755
secondary---pt interaction	3077	3480	1255	837	578	474	154	92	25	39	33	1	0
work---home	10307	14948	6685	3402	1836	1126	954	847	913	958	644	402	1099
work---pt interaction	3512	4424	1828	1176	1009	621	148	15	11	13	26	0	0

average leg duration: 719.8054634668446 seconds = 00:11:59
