pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2769	8326	3891	2882	1576	1149	795	528	329	126	144	23	7
home---secondary	4957	6658	1472	793	615	400	322	339	287	213	157	130	590
home---work	10655	10887	6081	4981	3641	2476	1640	1175	904	690	345	295	862
pt interaction---home	2681	8289	3996	2869	1572	1080	797	566	337	128	157	22	9
pt interaction---pt interaction	25609	35484	4764	2122	1526	521	381	192	169	68	24	11	1
pt interaction---secondary	3211	3508	1419	799	555	436	178	78	31	30	26	2	0
pt interaction---work	3509	4447	1782	1051	771	517	129	13	12	16	25	0	0
secondary---home	4689	6785	1974	653	542	350	283	319	275	210	161	132	586
secondary---pt interaction	3259	3625	1257	780	563	449	144	86	24	29	29	2	0
work---home	9933	15012	7512	3808	2582	1122	841	766	745	701	430	337	858
work---pt interaction	3690	4324	1673	1018	866	497	130	9	13	12	25	0	0

average leg duration: 705.3741183923418 seconds = 00:11:45
