pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2532	7839	4061	3173	1743	1284	916	599	357	126	168	28	8
home---secondary	5014	6556	1444	732	577	400	336	376	339	225	195	156	764
home---work	11707	12347	5985	3839	2848	1868	1290	1104	825	523	408	380	1038
pt interaction---home	2474	7798	4148	3171	1724	1205	912	640	361	128	182	27	10
pt interaction---pt interaction	26050	37580	5091	2346	1074	514	312	193	202	158	62	2	0
pt interaction---secondary	3064	3321	1440	847	577	462	196	84	33	37	30	1	0
pt interaction---work	3436	4502	1905	1182	871	629	146	18	14	17	22	0	0
secondary---home	4824	6540	1866	639	494	375	321	372	332	235	197	155	761
secondary---pt interaction	3122	3471	1265	836	576	478	156	93	28	37	32	1	0
work---home	10361	14967	6763	3549	1894	1120	876	821	877	937	633	382	1039
work---pt interaction	3545	4412	1786	1169	977	591	142	15	13	13	22	0	0

average leg duration: 716.6250895907702 seconds = 00:11:56
