pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1612	5932	3789	3551	2322	1813	1177	871	562	231	216	37	8
home---secondary	4116	4936	1049	417	492	611	671	735	726	673	565	564	2945
home---work	11851	11817	3075	1357	1229	1273	1426	1478	1550	1445	1275	1232	4481
pt interaction---home	1589	5881	3878	3533	2288	1711	1185	926	573	231	238	36	10
pt interaction---pt interaction	25914	40561	4769	1316	813	420	456	436	135	4	0	0	0
pt interaction---secondary	2297	2769	1278	850	635	485	188	80	41	50	31	2	0
pt interaction---work	2767	4160	2121	1601	1375	1072	216	35	20	23	25	0	0
secondary---home	3963	4931	1278	401	476	597	652	735	726	675	567	554	2930
secondary---pt interaction	2356	2894	1118	844	644	492	160	85	38	51	37	2	0
work---home	10232	12693	3362	936	1278	1769	1702	1566	1579	1453	1269	1237	4470
work---pt interaction	2804	4126	2005	1575	1547	992	228	19	17	19	26	0	0

average leg duration: 1006.6497576972887 seconds = 00:16:46
