pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1853	6625	4352	4004	2591	2135	1442	1077	688	280	281	44	9
home---secondary	1321	1700	491	504	689	978	1121	1242	1304	1263	1053	1065	5896
home---work	4014	4313	1063	1060	1782	2207	2659	2713	2941	2914	2628	2383	9425
pt interaction---home	1811	6608	4401	4022	2543	2014	1428	1148	717	277	312	45	11
pt interaction---pt interaction	28719	47382	6055	1145	826	844	311	154	129	186	95	107	71
pt interaction---secondary	2298	2629	1296	880	606	471	216	81	32	45	24	1	0
pt interaction---work	3483	5220	2742	1971	1631	1290	318	57	28	28	34	0	0
secondary---home	1309	1611	605	495	688	976	1116	1242	1308	1261	1053	1058	5881
secondary---pt interaction	2412	2764	1113	846	631	472	178	87	25	43	31	1	0
work---home	4112	4005	1265	1064	1802	2223	2663	2728	2967	2915	2638	2384	9403
work---pt interaction	3577	5195	2564	1894	1829	1239	321	37	17	25	37	0	0

average leg duration: 1422.9323784602673 seconds = 00:23:42
