pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	658	2444	1646	1531	972	879	591	479	250	104	105	26	6
home---secondary	274	397	316	636	911	1313	1592	1841	1934	1965	1656	1654	9235
home---work	796	1027	766	1294	2350	3105	3809	4242	4610	4612	4135	3935	16014
pt interaction---home	660	2397	1650	1553	957	814	583	535	266	103	113	22	9
pt interaction---pt interaction	14009	19619	1720	37	0	0	0	0	0	0	0	0	0
pt interaction---secondary	926	1075	541	350	247	186	83	28	17	13	14	2	0
pt interaction---work	1295	1858	1065	728	623	452	132	20	12	9	15	0	0
secondary---home	288	374	329	632	912	1312	1592	1849	1933	1966	1657	1653	9233
secondary---pt interaction	957	1130	474	340	252	182	64	31	14	16	14	2	0
work---home	857	939	794	1296	2357	3106	3812	4247	4620	4616	4135	3936	16003
work---pt interaction	1270	1897	1016	688	723	415	130	13	13	6	15	0	0

average leg duration: 2340.3045506328544 seconds = 00:39:00
