pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2529	7910	4067	3101	1801	1314	891	574	342	135	149	30	5
home---secondary	5033	6603	1470	718	560	407	338	382	329	221	181	160	711
home---work	11641	12346	6234	3698	2712	1928	1301	1035	763	613	423	380	1075
pt interaction---home	2475	7860	4149	3090	1779	1234	888	618	344	140	164	29	6
pt interaction---pt interaction	25955	37441	5021	2337	1140	463	326	198	196	118	4	0	1
pt interaction---secondary	3039	3369	1449	828	564	480	186	81	32	39	25	1	0
pt interaction---work	3460	4508	1900	1175	870	614	163	17	15	15	18	0	0
secondary---home	4816	6609	1888	627	503	378	321	376	323	229	190	160	707
secondary---pt interaction	3108	3505	1269	808	565	492	150	89	26	38	28	1	0
work---home	10267	15203	6663	3569	1883	1111	913	853	920	813	558	383	1070
work---pt interaction	3559	4424	1776	1168	978	576	160	11	17	11	18	0	0

average leg duration: 712.6598814119089 seconds = 00:11:52
