pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2701	8142	3961	2935	1640	1154	819	549	322	123	160	19	8
home---secondary	4987	6704	1470	806	630	387	323	348	276	200	183	144	609
home---work	10982	11574	5813	4638	3564	2239	1471	1152	890	604	354	344	885
pt interaction---home	2615	8130	4071	2912	1634	1089	808	585	334	121	175	19	10
pt interaction---pt interaction	25131	35648	4767	2458	1580	602	393	291	189	50	39	2	2
pt interaction---secondary	3149	3397	1432	809	553	447	180	73	35	35	27	2	0
pt interaction---work	3501	4418	1830	1085	815	548	140	12	10	14	21	0	0
secondary---home	4801	6721	1983	653	540	345	305	330	266	203	187	142	599
secondary---pt interaction	3211	3532	1254	789	560	462	143	85	28	34	31	2	0
work---home	10123	14990	7297	3989	2229	1052	790	830	809	689	483	369	882
work---pt interaction	3636	4308	1744	1091	889	517	135	9	11	11	21	0	0

average leg duration: 707.9799689178926 seconds = 00:11:47
