pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1745	6026	3870	3602	2276	1788	1171	876	566	214	221	43	7
home---secondary	4829	5699	1289	535	520	541	501	486	478	427	347	352	1775
home---work	10727	11403	4341	3101	2462	1655	1646	1607	1621	1136	834	813	2580
pt interaction---home	1711	5969	3941	3611	2254	1688	1177	926	579	215	242	40	12
pt interaction---pt interaction	22886	36984	5133	2406	1887	1560	1123	775	346	333	354	642	1961
pt interaction---secondary	2502	2971	1447	897	674	517	223	85	40	44	24	3	0
pt interaction---work	2651	3977	2104	1556	1326	1038	223	37	23	14	29	0	0
secondary---home	4770	5731	1577	468	452	485	451	456	455	434	366	340	1775
secondary---pt interaction	2607	3117	1248	882	680	528	181	92	34	45	29	3	0
work---home	9458	10632	5189	2682	2403	1620	1447	1321	1440	1713	1323	819	3938
work---pt interaction	2712	3958	1985	1524	1481	959	217	25	16	13	29	0	0

average leg duration: 975.5476225032829 seconds = 00:16:15
