pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2707	8176	3902	2967	1655	1156	813	552	329	116	156	21	8
home---secondary	5008	6673	1485	818	600	387	303	334	288	191	185	132	628
home---work	10983	11824	6116	4871	3423	2164	1322	1031	765	489	348	325	859
pt interaction---home	2613	8150	3999	2955	1653	1080	823	578	334	119	167	20	10
pt interaction---pt interaction	25328	35422	5030	2445	1617	521	223	204	88	48	10	1	0
pt interaction---secondary	3164	3435	1444	788	566	437	169	75	33	35	26	2	0
pt interaction---work	3539	4442	1780	1060	799	544	150	20	12	15	23	0	0
secondary---home	4807	6659	2001	671	547	346	290	318	281	196	191	127	622
secondary---pt interaction	3211	3563	1278	770	565	451	137	82	28	34	29	2	0
work---home	9846	14818	7595	3917	2458	1170	878	879	690	649	463	328	862
work---pt interaction	3661	4357	1681	1058	869	518	149	12	11	12	23	0	0

average leg duration: 701.3033643426127 seconds = 00:11:41
