pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	669	2652	1760	1621	1042	956	582	482	271	129	117	23	9
home---secondary	266	375	319	622	909	1327	1573	1835	1908	1943	1648	1641	9210
home---work	911	1090	767	1285	2330	3118	3783	4208	4532	4554	4067	3861	15715
pt interaction---home	683	2582	1793	1631	1028	892	564	526	298	127	127	18	11
pt interaction---pt interaction	14349	20964	1822	43	0	0	0	0	0	0	0	0	1
pt interaction---secondary	963	1157	525	392	249	184	87	27	13	15	16	2	0
pt interaction---work	1382	2072	1035	813	687	503	136	20	13	9	13	0	0
secondary---home	257	363	337	617	907	1328	1573	1840	1907	1944	1650	1641	9204
secondary---pt interaction	1024	1206	457	373	251	186	66	29	10	19	15	2	0
work---home	926	1028	816	1286	2338	3117	3789	4220	4553	4563	4067	3859	15700
work---pt interaction	1387	2083	988	745	805	453	134	11	14	9	13	0	0

average leg duration: 2296.4130323197282 seconds = 00:38:16
