pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1831	6501	4139	3831	2473	2053	1371	1021	616	274	264	36	8
home---secondary	3077	3702	810	446	555	705	823	852	897	850	709	685	4075
home---work	9091	9454	1835	868	1285	1597	1885	1918	1984	1972	1713	1569	6335
pt interaction---home	1797	6438	4242	3825	2445	1933	1380	1087	644	266	284	38	11
pt interaction---pt interaction	27169	45501	5791	1639	779	732	461	210	154	241	174	31	0
pt interaction---secondary	2426	2832	1336	937	619	500	209	70	28	37	26	0	0
pt interaction---work	3229	4698	2520	1829	1487	1202	296	56	29	23	29	0	0
secondary---home	2990	3624	1016	431	538	691	811	856	903	847	710	674	4057
secondary---pt interaction	2525	2975	1167	910	640	511	161	79	24	36	30	0	0
work---home	8471	9316	2497	929	1295	1620	1895	1949	2017	1973	1715	1573	6322
work---pt interaction	3250	4733	2357	1773	1701	1126	288	33	19	22	30	0	0

average leg duration: 1154.6648294488346 seconds = 00:19:14
