pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1834	6335	4057	3728	2336	1842	1222	946	567	244	240	43	7
home---secondary	4010	5078	989	450	520	615	671	711	719	676	546	548	2680
home---work	11791	11712	2735	1140	1193	1343	1440	1445	1486	1514	1236	1203	4258
pt interaction---home	1780	6302	4120	3740	2305	1740	1240	999	584	238	266	41	10
pt interaction---pt interaction	27425	43150	5197	1239	933	485	425	77	1	1	1	0	0
pt interaction---secondary	2406	2855	1363	912	597	480	198	80	35	44	21	2	0
pt interaction---work	3056	4560	2333	1682	1381	1051	243	34	22	20	26	0	0
secondary---home	3889	4944	1299	435	505	603	660	710	720	676	544	541	2668
secondary---pt interaction	2455	3019	1194	893	613	495	158	86	27	42	28	2	0
work---home	10293	12400	3029	1014	1599	1563	1455	1482	1514	1520	1236	1202	4244
work---pt interaction	3143	4552	2178	1613	1536	1009	239	19	20	16	28	0	0

average leg duration: 971.6861050626021 seconds = 00:16:11
