pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	434	1695	1098	1059	713	627	415	345	189	85	73	17	2
home---secondary	250	352	324	637	940	1370	1665	1928	2005	2038	1734	1695	9667
home---work	782	980	794	1303	2400	3219	3947	4437	4810	4849	4328	4048	16856
pt interaction---home	428	1674	1107	1057	708	579	395	389	205	78	81	17	4
pt interaction---pt interaction	10115	14355	1305	25	1	1	0	0	0	0	0	0	0
pt interaction---secondary	657	817	396	276	204	140	53	23	8	13	11	3	0
pt interaction---work	876	1250	673	513	421	303	77	17	6	6	9	0	0
secondary---home	237	346	346	635	940	1374	1666	1926	2007	2040	1733	1694	9663
secondary---pt interaction	707	839	336	269	207	139	43	23	7	13	13	3	0
work---home	824	920	812	1312	2404	3219	3944	4445	4823	4848	4329	4050	16851
work---pt interaction	858	1268	644	490	461	290	83	10	6	4	9	0	0

average leg duration: 2549.131780853607 seconds = 00:42:29
