pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1922	6775	4498	4078	2615	2245	1506	1095	707	283	287	44	10
home---secondary	2016	2563	606	477	634	846	963	1085	1098	1076	893	893	4927
home---work	6113	6422	1255	966	1571	1934	2314	2389	2457	2515	2165	2006	7861
pt interaction---home	1868	6714	4562	4106	2575	2119	1500	1153	743	282	307	47	13
pt interaction---pt interaction	28510	48336	6328	1282	904	779	771	264	112	111	225	148	100
pt interaction---secondary	2422	2836	1393	921	655	500	225	77	29	43	27	1	0
pt interaction---work	3530	5161	2738	2006	1685	1356	321	49	30	23	37	0	0
secondary---home	2024	2410	766	477	629	844	950	1094	1101	1076	891	884	4910
secondary---pt interaction	2509	3012	1190	893	669	512	179	85	25	43	32	1	0
work---home	6230	5977	1598	958	1580	1931	2326	2402	2502	2518	2181	2016	7846
work---pt interaction	3554	5196	2548	1960	1895	1261	309	36	19	23	38	0	0

average leg duration: 1288.450130458487 seconds = 00:21:28
