pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1493	5519	3604	3322	2165	1862	1195	932	567	240	247	37	10
home---secondary	661	840	396	541	800	1142	1331	1476	1563	1531	1280	1288	7301
home---work	1926	2238	866	1155	2057	2635	3116	3416	3604	3575	3188	3026	11965
pt interaction---home	1456	5485	3636	3348	2135	1764	1181	1007	587	235	269	35	12
pt interaction---pt interaction	25348	40547	4742	802	180	225	119	31	1	0	0	0	0
pt interaction---secondary	1859	2118	1124	751	483	404	182	55	23	36	19	2	0
pt interaction---work	2969	4375	2278	1709	1372	1043	273	48	22	20	28	0	0
secondary---home	662	801	434	550	804	1144	1327	1481	1566	1530	1281	1282	7289
secondary---pt interaction	1927	2267	946	735	485	408	144	63	19	35	24	2	0
work---home	2046	2004	975	1163	2072	2637	3119	3434	3626	3578	3184	3019	11952
work---pt interaction	2969	4445	2122	1659	1553	987	265	31	18	18	28	0	0

average leg duration: 1684.9968148132418 seconds = 00:28:04
