pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1796	6376	4064	3752	2323	1852	1211	955	566	249	236	41	6
home---secondary	3970	5002	1006	453	511	614	668	702	729	687	557	533	2749
home---work	11643	11726	2692	1119	1171	1345	1452	1454	1472	1518	1284	1231	4395
pt interaction---home	1759	6325	4129	3737	2295	1750	1224	1011	580	246	259	40	10
pt interaction---pt interaction	27106	43350	5190	1329	1055	489	445	120	21	1	0	0	0
pt interaction---secondary	2401	2861	1372	906	608	481	200	87	38	45	24	2	0
pt interaction---work	3048	4550	2352	1683	1386	1036	244	33	25	21	24	0	0
secondary---home	3869	4883	1269	431	501	610	664	701	732	688	555	524	2736
secondary---pt interaction	2460	2998	1211	893	619	495	167	94	30	44	30	2	0
work---home	10198	12266	3045	989	1497	1680	1482	1493	1502	1526	1281	1238	4384
work---pt interaction	3136	4549	2170	1617	1547	988	232	19	23	16	26	0	0

average leg duration: 981.6205332553601 seconds = 00:16:21
