pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1883	6631	4320	3929	2539	2170	1422	1026	681	298	277	39	7
home---secondary	2694	3265	712	447	569	772	824	940	976	927	775	770	4386
home---work	7999	8447	1514	883	1384	1737	2032	2095	2171	2141	1880	1720	6828
pt interaction---home	1838	6566	4392	3960	2506	2036	1417	1098	713	294	301	39	8
pt interaction---pt interaction	28174	47070	6079	1213	789	593	675	285	99	128	275	86	0
pt interaction---secondary	2445	2851	1400	929	623	505	211	80	37	40	27	1	0
pt interaction---work	3351	4870	2598	1945	1576	1284	311	46	32	27	33	0	0
secondary---home	2657	3133	911	448	557	754	810	950	986	929	780	763	4366
secondary---pt interaction	2536	3001	1213	910	639	500	172	88	31	38	33	1	0
work---home	7833	8141	1974	864	1401	1752	2048	2118	2209	2143	1873	1728	6814
work---pt interaction	3335	4944	2443	1898	1776	1193	301	35	20	27	34	0	0

average leg duration: 1198.5840447782791 seconds = 00:19:58
