pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2793	8321	3855	2841	1606	1138	784	519	313	112	149	19	7
home---secondary	4935	6678	1522	817	640	414	305	333	287	219	166	137	598
home---work	10744	10909	6097	5089	3844	2398	1615	1042	795	601	327	318	823
pt interaction---home	2694	8282	3984	2824	1593	1062	790	551	320	118	158	19	9
pt interaction---pt interaction	25314	35468	4821	2271	1450	571	308	235	137	54	20	10	2
pt interaction---secondary	3192	3441	1406	781	556	434	174	81	29	31	28	2	0
pt interaction---work	3531	4468	1769	1023	772	533	143	15	13	15	20	0	0
secondary---home	4756	6765	1963	677	559	362	284	319	268	219	166	138	596
secondary---pt interaction	3229	3584	1237	764	560	446	140	89	24	30	29	2	0
work---home	9925	14689	7545	3730	2877	1269	881	760	697	625	421	372	843
work---pt interaction	3696	4333	1671	1013	860	503	141	11	11	11	20	0	0

average leg duration: 702.8152511788878 seconds = 00:11:42
