pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1244	4469	2941	2788	1762	1576	1062	782	504	200	210	34	5
home---secondary	456	585	338	599	859	1214	1424	1625	1689	1672	1430	1418	7986
home---work	1264	1566	820	1215	2154	2853	3409	3686	4018	4003	3475	3373	13402
pt interaction---home	1245	4430	2954	2813	1748	1458	1049	841	530	195	228	30	7
pt interaction---pt interaction	22456	35181	3275	83	3	1	1	0	2	0	1	1	1
pt interaction---secondary	1545	1906	878	628	419	307	115	41	20	29	21	2	0
pt interaction---work	2488	3602	1827	1431	1122	858	237	39	19	19	24	0	0
secondary---home	453	560	368	599	855	1218	1420	1636	1690	1673	1429	1418	7978
secondary---pt interaction	1614	1999	750	612	422	290	105	45	14	32	24	2	0
work---home	1361	1418	861	1225	2169	2846	3408	3706	4051	4002	3476	3369	13392
work---pt interaction	2479	3635	1724	1380	1282	809	229	27	9	21	25	0	0

average leg duration: 1870.1221238603262 seconds = 00:31:10
