pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2797	8396	3869	2854	1582	1150	793	535	312	116	142	23	7
home---secondary	4990	6640	1538	789	633	413	302	321	265	190	152	117	535
home---work	10843	10868	6157	4928	3814	2680	1450	1049	798	527	374	317	844
pt interaction---home	2700	8377	3977	2849	1576	1085	798	573	310	122	151	22	10
pt interaction---pt interaction	25666	34919	5221	2205	1675	611	300	136	64	30	4	0	1
pt interaction---secondary	3237	3498	1441	805	555	442	176	79	27	31	28	2	0
pt interaction---work	3504	4471	1753	1013	783	530	143	15	12	13	18	0	0
secondary---home	4794	6749	1976	654	544	354	266	304	266	192	153	113	528
secondary---pt interaction	3282	3637	1273	792	563	456	138	87	22	30	31	2	0
work---home	9752	14871	7786	4005	2527	1196	891	785	723	617	352	318	843
work---pt interaction	3649	4366	1665	1005	861	501	140	10	13	10	18	0	0

average leg duration: 697.4933140496449 seconds = 00:11:37
