pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	418	1638	1088	1005	706	624	407	337	173	75	74	11	5
home---secondary	240	374	316	628	932	1371	1675	1916	1997	2041	1738	1695	9682
home---work	781	1009	787	1307	2410	3237	3939	4431	4818	4898	4359	4081	16887
pt interaction---home	413	1631	1081	1008	695	584	416	369	183	71	78	10	7
pt interaction---pt interaction	9695	13895	1268	25	1	0	0	0	0	0	0	1	0
pt interaction---secondary	678	821	402	293	175	123	49	18	12	16	12	2	0
pt interaction---work	810	1205	631	485	414	305	72	14	9	7	8	0	0
secondary---home	253	354	320	631	933	1372	1671	1921	1997	2039	1739	1694	9677
secondary---pt interaction	742	846	342	275	177	121	42	17	11	16	14	2	0
work---home	823	946	805	1316	2419	3236	3942	4435	4822	4897	4361	4078	16883
work---pt interaction	809	1208	601	465	462	298	68	8	8	6	8	0	0

average leg duration: 2564.72225670669 seconds = 00:42:44
