pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2565	7948	4033	3089	1793	1292	901	569	342	131	153	26	5
home---secondary	5069	6547	1466	720	574	423	345	369	305	229	194	153	725
home---work	11430	12250	5833	4007	2849	1947	1564	941	807	702	400	365	1049
pt interaction---home	2516	7875	4135	3092	1763	1221	899	609	344	137	166	26	7
pt interaction---pt interaction	25880	37395	4888	2549	1278	519	352	201	223	130	20	1	3
pt interaction---secondary	3038	3344	1446	843	566	478	188	81	31	40	31	1	0
pt interaction---work	3494	4495	1904	1167	846	627	158	19	13	16	21	0	0
secondary---home	4779	6625	1889	635	521	384	324	361	307	235	200	150	719
secondary---pt interaction	3105	3480	1272	818	570	493	154	86	25	40	33	1	0
work---home	10316	15213	6728	3416	1961	1045	902	878	899	894	519	370	1050
work---pt interaction	3580	4424	1794	1163	953	590	151	12	14	10	22	0	0

average leg duration: 715.7649427767877 seconds = 00:11:55
