pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2779	8405	3887	2883	1577	1147	800	522	320	110	148	21	7
home---secondary	4989	6645	1513	784	640	376	297	307	263	177	136	133	586
home---work	10909	10908	6040	5098	3641	2425	1686	1036	883	503	347	314	868
pt interaction---home	2691	8375	3979	2879	1578	1079	799	564	325	113	158	21	9
pt interaction---pt interaction	25729	34712	5007	2357	1635	662	387	188	126	47	1	0	1
pt interaction---secondary	3245	3535	1435	809	542	447	174	79	30	36	26	2	0
pt interaction---work	3500	4448	1781	1046	738	536	136	13	12	16	20	0	0
secondary---home	4765	6738	1974	647	546	335	258	298	266	182	137	131	581
secondary---pt interaction	3295	3661	1277	791	546	459	137	92	23	36	29	2	0
work---home	9536	14652	7877	4045	2680	1288	944	792	743	591	354	313	867
work---pt interaction	3657	4331	1682	1030	826	509	132	8	13	14	20	0	0

average leg duration: 701.8033759252484 seconds = 00:11:41
