pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2789	8377	3890	2803	1549	1127	790	511	318	123	138	24	8
home---secondary	4926	6604	1510	814	657	399	297	324	267	208	143	138	618
home---work	10617	10982	6418	5079	3701	2554	1435	1047	944	510	346	307	818
pt interaction---home	2714	8336	4011	2792	1553	1061	802	545	325	126	150	22	10
pt interaction---pt interaction	25485	34409	5066	2346	1698	652	291	223	85	43	17	18	15
pt interaction---secondary	3234	3519	1429	786	540	454	165	86	28	33	26	1	0
pt interaction---work	3527	4433	1741	1011	716	513	141	16	13	13	22	0	0
secondary---home	4705	6703	1978	659	578	335	277	299	264	209	140	138	612
secondary---pt interaction	3292	3657	1271	767	545	469	133	92	22	31	29	1	0
work---home	9633	13912	7709	4232	3115	1383	943	873	721	634	456	337	817
work---pt interaction	3677	4343	1647	997	791	489	139	12	12	11	21	0	0

average leg duration: 706.9579414524699 seconds = 00:11:46
