pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2548	7959	4018	3058	1753	1246	873	580	350	136	151	26	7
home---secondary	5075	6619	1504	709	559	411	338	344	326	216	191	154	675
home---work	11865	12160	5840	3925	3160	1689	1392	1093	863	549	393	354	1001
pt interaction---home	2461	7898	4114	3079	1733	1175	874	626	356	139	169	25	9
pt interaction---pt interaction	25533	37653	4803	2294	1322	480	338	207	248	114	29	1	1
pt interaction---secondary	3053	3370	1441	827	557	456	200	81	32	40	26	2	0
pt interaction---work	3426	4488	1890	1122	869	599	156	15	18	17	20	0	0
secondary---home	4822	6687	1875	622	509	384	322	352	329	218	192	154	667
secondary---pt interaction	3123	3488	1283	807	552	474	161	87	27	42	27	2	0
work---home	10363	15166	6851	3618	1913	1080	886	840	888	839	520	358	997
work---pt interaction	3546	4393	1780	1121	966	565	150	11	19	13	21	0	0

average leg duration: 709.0958772670496 seconds = 00:11:49
