pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2153	7210	4184	3614	2165	1600	1105	791	478	185	203	28	8
home---secondary	4644	6020	1218	538	521	503	545	537	479	417	313	293	1390
home---work	12842	13103	4023	2152	1973	1483	1117	1024	910	902	716	659	2064
pt interaction---home	2105	7137	4275	3617	2140	1493	1115	849	482	188	220	31	9
pt interaction---pt interaction	27197	42164	5196	1871	1050	378	338	270	130	3	0	0	0
pt interaction---secondary	2736	3186	1452	899	623	498	195	79	42	46	30	2	0
pt interaction---work	3305	4648	2266	1461	1125	853	192	29	16	17	24	0	0
secondary---home	4497	5868	1599	504	495	495	532	540	488	419	314	288	1382
secondary---pt interaction	2809	3303	1306	864	632	505	159	90	37	46	32	2	0
work---home	10548	15294	4771	1230	1464	1405	1499	1513	960	912	713	663	2055
work---pt interaction	3353	4616	2144	1436	1245	818	195	14	17	14	25	0	0

average leg duration: 794.4856527148014 seconds = 00:13:14
