pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1719	5865	3905	3557	2229	1818	1237	870	569	232	220	44	6
home---secondary	3868	4639	989	463	510	652	696	743	758	717	580	597	3203
home---work	11092	11036	2893	1785	1411	1430	1564	1491	1611	1536	1296	1255	5024
pt interaction---home	1682	5828	3960	3576	2228	1681	1237	922	583	233	241	46	8
pt interaction---pt interaction	24923	40224	5215	1429	1189	992	590	363	344	326	108	17	0
pt interaction---secondary	2330	2761	1368	849	612	487	197	86	37	39	24	1	0
pt interaction---work	2723	4154	2230	1626	1348	1046	243	44	23	18	25	0	0
secondary---home	3762	4585	1220	438	489	645	669	739	768	722	581	589	3187
secondary---pt interaction	2423	2894	1190	830	610	504	167	94	31	37	31	1	0
work---home	9346	11466	3606	1346	1436	1606	1904	1728	1863	1596	1317	1260	5017
work---pt interaction	2795	4125	2082	1608	1502	972	244	29	18	14	24	0	0

average leg duration: 1064.5130323537978 seconds = 00:17:44
