pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1591	5480	3547	3332	2078	1676	1085	808	529	206	206	41	5
home---secondary	4466	5397	1194	502	525	608	639	628	622	590	490	497	2569
home---work	11607	10855	4321	2140	1937	1958	1729	1624	1418	1241	1029	1030	3910
pt interaction---home	1563	5424	3613	3335	2077	1557	1103	856	539	206	226	40	7
pt interaction---pt interaction	22607	35755	5002	1995	1341	576	540	503	646	309	400	307	515
pt interaction---secondary	2296	2648	1299	785	607	468	198	76	36	40	24	2	0
pt interaction---work	2436	3746	2007	1464	1207	951	200	33	18	18	25	0	0
secondary---home	4395	5376	1462	475	443	554	606	623	639	589	496	481	2569
secondary---pt interaction	2369	2794	1121	775	612	480	161	82	31	40	31	2	0
work---home	9507	11787	4557	2105	1668	1540	1860	1782	1788	1363	1128	1181	4590
work---pt interaction	2500	3720	1881	1438	1355	880	199	20	15	15	25	0	0

average leg duration: 1020.7812689836553 seconds = 00:17:00
