pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1511	5673	3688	3361	2203	1943	1223	951	589	246	246	33	9
home---secondary	734	888	398	565	792	1127	1292	1489	1532	1527	1276	1280	7155
home---work	2071	2350	879	1161	2043	2557	3123	3310	3580	3491	3117	2939	11758
pt interaction---home	1486	5638	3709	3399	2157	1819	1231	1030	604	240	273	32	11
pt interaction---pt interaction	25773	41406	4942	823	156	162	230	29	0	0	1	1	0
pt interaction---secondary	1873	2244	1073	748	482	400	182	59	29	38	21	2	0
pt interaction---work	3003	4471	2328	1740	1479	1094	292	46	27	20	25	0	0
secondary---home	696	880	444	571	792	1127	1283	1496	1538	1528	1276	1274	7146
secondary---pt interaction	1942	2392	901	738	480	398	150	68	23	35	26	2	0
work---home	2178	2143	970	1168	2060	2555	3127	3325	3605	3504	3117	2938	11740
work---pt interaction	2988	4544	2187	1690	1670	1019	283	30	22	16	25	0	0

average leg duration: 1658.75380637647 seconds = 00:27:38
